Qty,Value,Device,Package,Parts,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,VALUE
1,,BQ25570_BOARD,MA05-1,SV2,PIN HEADER,,,unknown,unknown,,
2,,M02PTH,1X02,"SC, VOUT-VCC","Standard 2-pin 0.1 header. Use with""",,,,,,
2,,M04PTH,1X04,"JP18, JP19",Header 4,,,,,,
2,,M05PTH,1X05,"JP0, JP2",Header 5,,,,,,
1,,M08,1X08_ROUND,JP10,Header 8,,,,,,
1,/EN,M03PTH,1X03,JP16,Header 3,,,,,,
1,0.01uF,CAPEZ,CAP-PTH-SMALLEZ,C1,Capacitor,,,,,,
1,0.1uF,CAPEZ,CAP-PTH-SMALLEZ,C5,Capacitor,,,,,,
1,1000uF,CAPEZ,CAP-PTH-SMALLEZ,C7,Capacitor,,,,,,
1,100uF,CAPEZ,CAP-PTH-SMALLEZ,C2,Capacitor,,,,,,
1,10uH,BC12,BC12,L3,INDUCTOR,,,,,,
1,22uF,CAPEZ,CAP-PTH-SMALLEZ,C6,Capacitor,,,,,,
1,22uH,BC12,BC12,L4,INDUCTOR,,,,,,
1,4.22M,1KOHM-1/4W-1%(PTH),AXIAL-0.3,R6,RES-12182,,,,,RES-12182,1K
2,4.7uF,CAPEZ,CAP-PTH-SMALLEZ,"C3, C4",Capacitor,,,,,,
1,5.36M,1KOHM-1/4W-1%(PTH),AXIAL-0.3,R7,RES-12182,,,,,RES-12182,1K
1,5.76M,1KOHM-1/4W-1%(PTH),AXIAL-0.3,R3,RES-12182,,,,,RES-12182,1K
1,6.98M,1KOHM-1/4W-1%(PTH),AXIAL-0.3,R8,RES-12182,,,,,RES-12182,1K
1,7.5M,1KOHM-1/4W-1%(PTH),AXIAL-0.3,R4,RES-12182,,,,,RES-12182,1K
1,8.68M,1KOHM-1/4W-1%(PTH),AXIAL-0.3,R5,RES-12182,,,,,RES-12182,1K
1,887k,1KOHM-1/4W-1%(PTH),AXIAL-0.3,R9,RES-12182,,,,,RES-12182,1K
1,CHRG,M02PTH,1X02,JP17,"Standard 2-pin 0.1 header. Use with""",,,,,,
1,CHRG_EN,M02PTH,1X02,JP13,"Standard 2-pin 0.1 header. Use with""",,,,,,
1,SC_EN,M02PTH,1X02,JP11,"Standard 2-pin 0.1 header. Use with""",,,,,,
1,VBAT_OK,M02PTH,1X02,JP12,"Standard 2-pin 0.1 header. Use with""",,,,,,
1,VOC_SAMP,M03PTH,1X03,JP14,Header 3,,,,,,
1,VOUT_EN,M03PTH,1X03,JP15,Header 3,,,,,,
